,i,g,status
310,11,24,TP
311,11,25,FN
312,12,0,FP
313,12,1,FP
314,12,2,FP
315,12,3,TN
316,12,4,TN
317,12,5,TN
318,12,6,TN
319,12,7,TN
320,12,8,TN
321,12,9,TN
322,12,10,TN
323,12,11,TN
324,12,12,TN
325,12,13,TN
326,12,14,TN
327,12,15,TN
328,12,16,TN
329,12,17,TN
330,12,18,TN
331,12,19,TN
332,12,20,TN
333,12,21,TN
334,12,22,TN
335,12,23,TN
336,12,24,TN
337,12,25,TN
338,13,0,FP
339,13,1,FP
340,13,2,TN
341,13,3,TN
342,13,4,TN
343,13,5,TN
344,13,6,TN
345,13,7,TN
346,13,8,TN
347,13,9,TN
348,13,10,TN
349,13,11,TN
350,13,12,TN
351,13,13,TN
352,13,14,TN
353,13,15,TN
354,13,16,TN
355,13,17,TN
356,13,18,TN
357,13,19,TN
358,13,20,TN
359,13,21,TN
360,13,22,TN
361,13,23,TN
362,13,24,TN
363,13,25,TN
364,14,0,TP
365,14,1,TP
366,14,2,TP
367,14,3,TP
368,14,4,TP
369,14,5,TP
370,14,6,TP
371,14,7,TP
372,14,8,TP
373,14,9,TP
374,14,10,TP
375,14,11,TP
376,14,12,FN
377,14,13,FN
378,14,14,FN
379,14,15,FN
380,14,16,FN
381,14,17,FN
382,14,18,FN
383,14,19,FN
384,14,20,FN
385,14,21,FN
386,14,22,FN
387,14,23,FN
388,14,24,FN
389,14,25,FN
390,15,0,FP
391,15,1,FP
392,15,2,FP
393,15,3,TN
394,15,4,TN
395,15,5,TN
396,15,6,TN
397,15,7,TN
398,15,8,TN
399,15,9,TN
400,15,10,TN
401,15,11,TN
402,15,12,TN
403,15,13,TN
404,15,14,TN
405,15,15,TN
406,15,16,TN
407,15,17,TN
408,15,18,TN
409,15,19,TN
410,15,20,TN
411,15,21,TN
412,15,22,TN
413,15,23,TN
414,15,24,TN
415,15,25,TN
416,16,0,FP
417,16,1,FP
418,16,2,FP
419,16,3,TN
420,16,4,TN
421,16,5,TN
422,16,6,TN
423,16,7,TN
424,16,8,TN
425,16,9,TN
426,16,10,TN
427,16,11,TN
428,16,12,TN
429,16,13,TN
430,16,14,TN
431,16,15,TN
432,16,16,TN
433,16,17,TN
434,16,18,TN
435,16,19,TN
436,16,20,TN
437,16,21,TN
438,16,22,TN
439,16,23,TN
440,16,24,TN
441,16,25,TN
442,17,0,FP
443,17,1,FP
444,17,2,TN
445,17,3,TN
446,17,4,TN
447,17,5,TN
448,17,6,TN
449,17,7,TN
450,17,8,TN
451,17,9,TN
452,17,10,TN
453,17,11,TN
454,17,12,TN
455,17,13,TN
456,17,14,TN
457,17,15,TN
458,17,16,TN
459,17,17,TN
460,17,18,TN
461,17,19,TN
462,17,20,TN
463,17,21,TN
464,17,22,TN
465,17,23,TN
466,17,24,TN
467,17,25,TN
468,18,0,TP
469,18,1,TP
470,18,2,TP
471,18,3,TP
472,18,4,TP
473,18,5,TP
474,18,6,TP
475,18,7,TP
476,18,8,TP
477,18,9,TP
478,18,10,TP
479,18,11,TP
480,18,12,TP
481,18,13,TP
482,18,14,TP
483,18,15,TP
484,18,16,FN
485,18,17,FN
486,18,18,FN
487,18,19,FN
488,18,20,FN
489,18,21,FN
490,18,22,FN
491,18,23,FN
492,18,24,FN
493,18,25,FN
494,19,0,FP
495,19,1,FP
496,19,2,FP
497,19,3,TN
498,19,4,TN
499,19,5,TN
500,19,6,TN
501,19,7,TN
502,19,8,TN
503,19,9,TN
504,19,10,TN
505,19,11,TN
506,19,12,TN
507,19,13,TN
508,19,14,TN
509,19,15,TN
510,19,16,TN
511,19,17,TN
512,19,18,TN
513,19,19,TN
514,19,20,TN
515,19,21,TN
516,19,22,TN
517,19,23,TN
518,19,24,TN
519,19,25,TN
520,20,0,FP
521,20,1,FP
522,20,2,FP
523,20,3,TN
524,20,4,TN
525,20,5,TN
526,20,6,TN
527,20,7,TN
528,20,8,TN
529,20,9,TN
530,20,10,TN
531,20,11,TN
532,20,12,TN
533,20,13,TN
534,20,14,TN
535,20,15,TN
536,20,16,TN
537,20,17,TN
538,20,18,TN
539,20,19,TN
540,20,20,TN
541,20,21,TN
542,20,22,TN
543,20,23,TN
544,20,24,TN
545,20,25,TN
546,21,0,FP
547,21,1,FP
548,21,2,TN
549,21,3,TN
550,21,4,TN
551,21,5,TN
552,21,6,TN
553,21,7,TN
554,21,8,TN
555,21,9,TN
556,21,10,TN
557,21,11,TN
558,21,12,TN
559,21,13,TN
560,21,14,TN
561,21,15,TN
562,21,16,TN
563,21,17,TN
564,21,18,TN
565,21,19,TN
566,21,20,TN
567,21,21,TN
568,21,22,TN
569,21,23,TN
570,21,24,TN
571,21,25,TN
572,22,0,FP
573,22,1,TN
574,22,2,TN
575,22,3,TN
576,22,4,TN
577,22,5,TN
578,22,6,TN
579,22,7,TN
580,22,8,TN
581,22,9,TN
582,22,10,TN
583,22,11,TN
584,22,12,TN
585,22,13,TN
586,22,14,TN
587,22,15,TN
588,22,16,TN
589,22,17,TN
590,22,18,TN
591,22,19,TN
592,22,20,TN
593,22,21,TN
594,22,22,TN
595,22,23,TN
596,22,24,TN
597,22,25,TN
598,23,0,TP
599,23,1,TP
600,23,2,TP
601,23,3,TP
602,23,4,TP
603,23,5,TP
604,23,6,TP
605,23,7,TP
606,23,8,TP
607,23,9,TP
608,23,10,TP
609,23,11,TP
610,23,12,TP
611,23,13,TP
612,23,14,TP
613,23,15,TP
614,23,16,TP
615,23,17,TP
616,23,18,TP
617,23,19,FN
618,23,20,FN
619,23,21,FN
620,23,22,FN
621,23,23,FN
622,23,24,FN
623,23,25,FN
624,24,0,FP
625,24,1,FP
626,24,2,FP
627,24,3,TN
628,24,4,TN
629,24,5,TN
630,24,6,TN
631,24,7,TN
632,24,8,TN
633,24,9,TN
634,24,10,TN
635,24,11,TN
636,24,12,TN
637,24,13,TN
638,24,14,TN
639,24,15,TN
640,24,16,TN
641,24,17,TN
642,24,18,TN
643,24,19,TN
644,24,20,TN
645,24,21,TN
646,24,22,TN
647,24,23,TN
648,24,24,TN
649,24,25,TN
650,25,0,FP
651,25,1,FP
652,25,2,FP
653,25,3,TN
654,25,4,TN
655,25,5,TN
656,25,6,TN
657,25,7,TN
658,25,8,TN
659,25,9,TN
660,25,10,TN
661,25,11,TN
662,25,12,TN
663,25,13,TN
664,25,14,TN
665,25,15,TN
666,25,16,TN
667,25,17,TN
668,25,18,TN
669,25,19,TN
670,25,20,TN
671,25,21,TN
672,25,22,TN
673,25,23,TN
674,25,24,TN
675,25,25,TN
676,26,0,FP
677,26,1,FP
678,26,2,FP
679,26,3,TN
680,26,4,TN
681,26,5,TN
682,26,6,TN
683,26,7,TN
684,26,8,TN
685,26,9,TN
686,26,10,TN
687,26,11,TN
688,26,12,TN
689,26,13,TN
690,26,14,TN
691,26,15,TN
692,26,16,TN
693,26,17,TN
694,26,18,TN
695,26,19,TN
696,26,20,TN
697,26,21,TN
698,26,22,TN
699,26,23,TN
700,26,24,TN
701,26,25,TN
702,27,0,FP
703,27,1,FP
704,27,2,FP
705,27,3,TN
706,27,4,TN
707,27,5,TN
708,27,6,TN
709,27,7,TN
710,27,8,TN
711,27,9,TN
712,27,10,TN
713,27,11,TN
714,27,12,TN
715,27,13,TN
716,27,14,TN
717,27,15,TN
718,27,16,TN
719,27,17,TN
720,27,18,TN
721,27,19,TN
722,27,20,TN
723,27,21,TN
724,27,22,TN
725,27,23,TN
726,27,24,TN
727,27,25,TN
728,28,0,FP
729,28,1,FP
730,28,2,FP
731,28,3,TN
732,28,4,TN
733,28,5,TN
734,28,6,TN
735,28,7,TN
736,28,8,TN
737,28,9,TN
738,28,10,TN
739,28,11,TN
740,28,12,TN
741,28,13,TN
742,28,14,TN
743,28,15,TN
744,28,16,TN
745,28,17,TN
746,28,18,TN
747,28,19,TN
748,28,20,TN
749,28,21,TN
750,28,22,TN
751,28,23,TN
752,28,24,TN
753,28,25,TN
754,29,0,FP
755,29,1,FP
756,29,2,FP
757,29,3,TN
758,29,4,TN
759,29,5,TN
760,29,6,TN
761,29,7,TN
762,29,8,TN
763,29,9,TN
764,29,10,TN
765,29,11,TN
